id,parkId,cost,description,title
154,117,0.0,"National Park Service regulations allow school groups and other approved national and international academic institutions to obtain a waiver of Park entrance fees, provided that visit is for educational or scientific purposes, and the resources or facilities that the group intends to use, support those purposes. Submit your waiver through the link below at least one month prior to your visit.",Entrance - Education/Academic Groups
155,118,10.0,Entrance fee for beaches and boat launches. Fee is good for one vehicle and it's passengers (up to 7 people).,Entrance - Private Vehicle
156,119,15.0,"Denali charges an entrance fee year-round. Youth age 15 or younger are free. For people age 16 or older, the $15 entrance fee provides a 7-day entrance permit. Be prepared to show your receipt or pass (digital or physical) if requested by park staff.",Entrance - Per Person
157,121,25.0,"Fee for a single, private, non-commercial vehicle and all its passengers.  Note: In summer it's a good idea to arrive at the entrance station before 10 am or after 4 pm to avoid congestion and find better parking options.",Entrance - Private Vehicle
158,121,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Note: In summer it's a good idea to arrive at the entrance station before 10 am or after 4 pm to avoid congestion and find better parking options.",Entrance - Motorcycle
159,121,15.0,"Admits one individual when entering on foot or bicycle. Individuals 15 years of age or younger are admitted free. This may also be used to calculate cost for organized non-profit groups (service organizations, scout groups, religious groups, etc.)",Entrance - Per Person
160,121,25.0,"These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers. The fee is $25 plus $15/person, not to exceed $40.",Commercial Entrance - Sedan
161,121,40.0,These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers.,Commercial Entrance - Van
162,121,40.0,These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers.,Commercial Entrance - Mini-bus
163,121,100.0,These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers.,Commercial Entrance - Motor Coach
164,122,25.0,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants. Admission is good for seven consecutive days. You can come and go any time with your seven-day pass.",Entrance - Private Vehicle
165,122,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. You can come and go any time with your seven-day pass.",Entrance - Motorcycle
166,122,15.0,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free. Admission is good for seven consecutive days. You can come and go any time with your seven-day pass.",Entrance - Per Person
167,122,50.0,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers.",Commercial Entrance - Van
168,122,60.0,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers.",Commercial Entrance - Mini-bus
169,122,150.0,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers.",Commercial Entrance - Motor Coach
170,122,25.0,"Non-commercial group fees (per vehicle): 
Vehicle capacity of 15 or less: $25 
Vehicle capacity of 16-25: $15 per person age 16 and older, not to exceed $60. 
Vehicle capacity of 26+: $15 per person age 16 and older, not to exceed $150. 
You may use Annual and Lifetime passes. A pass will cover the pass holder and up to three people traveling with the group.
Pass is valid for reentry for 7 days.",Entrance - Non-commercial Groups
171,122,0.0,"National Park Service regulations allow school groups and other bona fide national and international academic institutions to obtain a waiver for park entrance fees, provided that the visit is for educational or scientific purposes, and the resources or facilities the group proposes to use support those purposes.

Fee waivers must be obtained in advance and cannot be issued at the entrance station or visitor center.",Entrance - Education/Academic Groups
172,122,25.0,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers.",Commercial Entrance - Sedan
173,122,15.0,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. (minimum required fee is $25 commercial fee plus the per-person entrance fee for each passenger not to exceed $50.00)",Commercial Entrance - Per Person
174,123,15.0,"The entrance fee for Dry Tortugas National Park is $15.00 per person and is good for 7 consecutive days. Any person 15 years old and under is exempt from paying an entrance fees (including international visitors).

Ferry tickets include the cost of entrance to the park, but NOT camping fees.

Seaplane will charge the entrance fee upon arrival. Plan to bring cash for each person aged 16-years of age and older.

Private boaters may purchase a digital pass in advance or pay cash/check at Garden Key main dock.",Entrance - Per Person
175,137,35.0,Admits the passholder and passengers of a single vehicle or vessel. Good for 7 consecutive days at all park entrances.,Entrance - Private Vehicle
176,137,30.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
177,137,20.0,"Good for 7 consecutive days at all park entrances. Admits one individual hiker, bicyclist, pedestrian, or human-powered paddlecraft, when not arriving in a vehicle or vessel. Individuals 15 years old and younger, are admitted free of charge.",Entrance - Per Person
178,137,0.0,"All accredited educational and scientific institutions are eligible to receive free entrance to the park. Bringing your classroom to the park can present many unique learning opportunities and novel ways for your students to advance their studies. The Federal Lands Recreation Enhancement Act (FLREA), Public Law 108-447, provides the National Park Service statutory authority to allow “outings conducted for non-commercial educational purposes by schools or bona fide academic institutions.”",Entrance - Education/Academic Groups
179,137,300.0,"A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the provisions of the service. Entrance fees are charges based on the seating capacity of the vehicle. Commercial entry good for 7 days as long as its the same passenger group.",Commercial Entrance - Motor Coach
180,137,200.0,"A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the provisions of the service. Entrance fees are charges based on the seating capacity of the vehicle. Commercial entry good for 7 days as long as its the same passenger group.",Commercial Entrance - Mini-bus
181,137,125.0,"A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the provisions of the service. Entrance fees are charges based on the seating capacity of the vehicle. Commercial entry good for 7 days as long as its the same passenger group.",Commercial Entrance - Van
182,137,100.0,"Each non-US resident aged 16 and older visiting Everglades National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group.",Nonresident
183,143,10.0,"$10 per adult (age 16 or older). Admission is good for 7 days. Children ages 15 or under are admitted free. Fee covers entrance to all areas of the park including visitor center exhibits, film, outdoor exhibit area, hiking trails, picnic areas, Hornbek Homestead, self-guided tours, and ranger programs.

Pay ahead of your visit at https://www.recreation.gov/sitepass/2683.",Entrance - Per Person
184,144,5.0,"Make your reservation on the Ford's Theatre Society website at the link below. The reservation includes a self-guided tour through the museum, Petersen House (the house where Lincoln died), and Aftermath exhibits. Because Ford's Theatre is an active theatre, some tours or tour elements may occasionally be unavailable. Free, same-day tickets may be available on a first-come, first-served basis at the Ford's Theatre box office; supplies are limited.",Timed Entry Reservation - Location
185,146,10.0,Per Person entry.,Entrance - Per Person
186,146,15.0,"Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
187,146,20.0,Entrance - Private Vehicle (includes driver and passengers),Entrance - Private Vehicle
188,146,20.0,Commercial Entrance - Sedan (1-6 persons vehicle capacity),Commercial Entrance - Sedan
189,146,40.0,Commercial Entrance - Van (7-15 persons vehicle capacity),Commercial Entrance - Van
190,146,40.0,Commercial Entrance - Mini-bus (16-25 persons vehicle capacity),Commercial Entrance - Mini-bus
191,146,100.0,Commercial Entrance - Motor Coach (26+ person vehicle capacity),Commercial Entrance - Motor Coach
192,153,0.0,"All areas of the park are free of charge including the ferry to the fort. However, you must stop in the Fort Matanzas Visitor Center (NOT the St. Augustine city Visitor Center) to get your free boarding pass for the ferry. Family members of all ages must have a pass to board the ferry. Passes are Free",Timed Entry Reservation - Location
193,154,15.0,Access to the historic zone (where the star fort is located) requires an entrance fee.,Entrance - Per Person
194,154,15.0,"There is no group rate for the entrance fee. All groups must pay $15 per adult. Children in the groups are free, however, they must be accompanied by an adult in the historic zone. Interagency passes are allowed to be used to assist with group entry fees.",Entrance - Non-commercial Groups
195,154,15.0,"All commercial groups wishing to visitor Fort McHenry NM&HS must first obtain a Commercial Use Authorization (CUA). Groups with an active CUA are subject to the same $15 per person fee to enter the historic zone, however their employees conducting business (tour guides, bus drivers, etc.) are not subject to the entrance fee. Interagency passes may be used to assist with fee payment.",Commercial Entrance - Per Person
196,158,10.0,A per person fee of $10 is required to visit Fort Pulaski and the surrounding areas. Admission is valid for 7 consecutive days. Youth 15 and under are admitted free of charge. Only available at the entrance station to Fort Pulaski National Monument. Credit/Debit Only,Entrance - Per Person
197,158,10.0,Commercial bus/van tours are charged the per person fee for the number of persons on board.,Commercial Entrance - Per Person
198,163,10.0,Fort Moultrie charges a per person entrance fee for adults. Anyone 16 years old or older is considered an adult.,Entrance - Per Person
199,166,10.0,"Day use/entrance fees are required for visitors ages 16 and up to access reconstructed Fort Vancouver. Federal Interagency Passes are accepted. There is no day use/entrance fee for visitors accessing the Visitor Center, Pearson Air Museum, the Barclay House, and McLoughlin House.",Entrance - Per Person
200,171,1.0,"The guided tour includes the upper and lower floors of the home and provides an intimate window into the life of Frederick Douglass.

Space on each tour is limited. You are strongly encouraged to make a reservation to secure your spot on a tour. While walk-ins without a reservation are permitted if space is available, tours are frequently completely full well in advance. Plan ahead and reserve your tour today!",Timed Entry Reservation - Location
201,177,19.0,"Prices vary by date of visit. 

Begin your tour with an interactive pre-boarding experience featuring 60s-inspired animation and Gateway Arch trivia. Then, be transported 630 feet to the top of Arch for exhilarating views. Please allow 45 - 60 minutes for your Tram Ride to the Top experience.

Adult (16 and up): Starting at $15

Child (3-15): Starting at $11

Infant (2 and under): FREE

Park Pass Holder: Starting at $12

Tickets available at www.gatewayarch.com",Timed Entry Reservation - Location
202,188,35.0,"(Winter Rate - $25.00, November 1 to April 30)
This is an entrance fee for all persons traveling in a single, private, non-commercial vehicle (car/truck/van). The pass is good for seven days and is non-transferable. Visitors can enter the park at any time, if the entrance station is not staffed, a self-registration area is available for purchasing a 7-day park pass.",Entrance - Private Vehicle
203,188,20.0,"(Winter Rate - $15.00, November 1 to April 30)
This is a per person entrance fee for a visitor traveling on foot, bicycle, or for individuals traveling together in a vehicle as a non-commercial, organized group. The pass is good for seven days and is non-transferable.",Entrance - Per Person
204,188,30.0,"(Winter Rate - $20.00, November 1 to April 30)
Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
205,188,25.0,"Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Sedan entrance fee is $25, plus $20 per person, 16 years of age or older. The pass is good for seven days and is non-transferable.",Commercial Entrance - Sedan
206,188,75.0,Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Van entrance fee is $75 regardless of occupancy. The pass is good for seven days and is non-transferable.,Commercial Entrance - Van
207,188,100.0,Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Mini-bus entrance fee is $100 regardless of occupancy. The pass is good for seven days and is non-transferable.,Commercial Entrance - Mini-bus
208,188,200.0,Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Motor Coach fee is $200 regardless of occupancy. The pass is good for seven days and is non-transferable.,Commercial Entrance - Motor Coach
209,188,100.0,"Each non-US resident aged 16 and older visiting Glacier National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group.",Nonresident
210,189,30.0,"Admits one single, private, non-commercial vehicle and all its passengers.",Entrance - Private Vehicle
211,189,25.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
212,189,15.0,Admits one individual when entering on foot or bicycle. Individuals 15 years of age and younger are admitted free.,Entrance - Per Person
213,189,40.0,Fees are assessed based on the passenger capacity of the vehicle. Pass is only valid for the same group to which it was issued.,Commercial Entrance - Van
214,189,40.0,Fees are assessed based on the passenger capacity of the vehicle. Pass is only valid for the same group to which it was issued.,Commercial Entrance - Mini-bus
215,189,100.0,Fees are assessed based on the passenger capacity of the vehicle. Pass is only valid for the same group to which it was issued.,Commercial Entrance - Motor Coach
216,189,0.0,Academic fee waivers must be submitted and returned before you visit Glen Canyon National Recreation Area.,Entrance - Education/Academic Groups
217,193,20.0,"The per vehicle fee covers all occupants in a single private vehicle. The fee will allow visitors access to all resources open to the public, including auto tours, walking trails, films, exhibit areas, ranger guided programs, and other seasonal activities. 

If visitors have any of the America the Beautiful Inter-agency passes, these will cover the pass holder and anyone that is in their personal vehicle.",Entrance - Private Vehicle
218,193,15.0,"Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. The fee will allow visitors access to all resources open to the public, including auto tours, walking trails, films, exhibit area, ranger guided programs, other seasonal activities. 
If visitors have any of the America the Beautiful Inter-agency passes, these will cover the pass holder and the passenger of the motorcycle.",Entrance - Motorcycle
219,193,10.0,"Admits one individual with no car. This pass is typically used for bicyclists, and pedestrians. Youth 15 and under are admitted free. The fee will allow visitor access to all resources open to the public, including auto tours, walking trails, films, exhibit area, ranger guided programs, other seasonal activities. If visitors have any of the America the Beautiful Inter-agency passes, these will cover the pass holder.",Entrance - Per Person
220,195,35.0,"Admits one single, private, non-commercial vehicle and all its passengers, up to a 15 person passenger van. Organized non-commercial groups over 16 passengers require different charges. Commercial groups are not eligible for the vehicle permit.",Entrance - Private Vehicle
221,195,30.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
222,195,20.0,"Individual ($20 valid for 7 days): for bicyclists, hikers, and pedestrians.",Entrance - Per Person
223,195,100.0,"Each non-US resident aged 16 and older visiting Grand Canyon National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group.",Nonresident
224,198,35.0,"Park entrance fee for 7 days for a private, non-commercial vehicle.",Entrance - Private Vehicle
225,198,30.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
226,198,20.0,"Park entrance fee for 7 days for each visitor 16 years and older entering by foot, bicycle, ski, etc.",Entrance - Per Person
227,198,25.0,"A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. 

The cost is $25 + $20 per person. Pass is good for seven days as long as it's the same passenger group.",Commercial Entrance - Sedan
228,198,125.0,"Based upon the total capacity of a vehicle that can carry 7-15 passengers, regardless of the actual number of passengers. 

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. 

Pass is good for seven days as long as it's the same passenger group.",Commercial Entrance - Van
229,198,200.0,"Based upon the total capacity of a vehicle that can carry 16-25 passengers, regardless of the actual number of passengers. 

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. 

Pass is good for seven days as long as it's the same passenger group.",Commercial Entrance - Mini-bus
230,198,300.0,"Based upon the total capacity of a vehicle that can carry 26 or more passengers, regardless of the actual number of passengers. 

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. 

Pass is good for seven days as long as it's the same passenger group.",Commercial Entrance - Motor Coach
231,198,0.0,"Schools or other bona fide educational institutions (accredited, officially recognized, or tax exempt for educational purposes) may request an educational fee waiver. The fee waiver will allow qualifying groups free entry into the park for educational or scientific purposes. Prior approval required before entry to park. See additional <a href=""https://www.nps.gov/grte/planyourvisit/eduwaiver.htm"">Education Fee Waiver</a> page.",Entrance - Education/Academic Groups
232,198,100.0,"Each non-US resident aged 16 and older visiting Grand Teton National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group.",Nonresident
233,202,20.0,"Includes driver and passengers. Admits one single, private, non-commercial vehicle and all its passengers. Organized groups are not eligible for the vehicle permit. Also valid for entrance into the Chesapeake and Ohio Canal National Historical Park. Admission to Great Falls Park is valid for seven consecutive days including date of purchase.",Entrance - Private Vehicle
234,202,15.0,"Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Individuals 15 years of age and younger are admitted free of charge. Also valid for entrance into the Chesapeake and Ohio Canal National Historical Park. Admission to Great Falls Park is valid for seven consecutive days including date of purchase.",Entrance - Motorcycle
235,202,10.0,"Applies only to people entering by foot, bicycle, or horse. Individuals 15 years of age and younger are admitted free of charge. Also valid for entrance into the Chesapeake and Ohio Canal National Historical Park. Admission to Great Falls Park is valid for seven consecutive days including date of purchase.",Entrance - Per Person
236,202,100.0,"Includes church groups, college/school groups, scouts, service organizations, military, etc.

All holders of annual passes and those under 15 years old will be exempt from payment of fees.

Non-Commercial Groups in vehicles with a capacity of 15 or less are charged the $20.00 vehicle permit. Vehicles with a capacity of 16 or more are charged a fee of $10.00 per person. Removal of seats from a vehicle does not then qualify for the lower rate.

The total fee will not exceed the $100 fee per vehicle.",Entrance - Non-commercial Groups
237,202,40.0,Vehicles with capacity of 7-25 passengers: $40. (No per person fee),Commercial Entrance - Van
238,202,40.0,Vehicles with capacity of 7-25 passengers: $40. (No per person fee),Commercial Entrance - Mini-bus
239,202,25.0,Vehicles with capacity of 1-6 passengers: $25 plus $3 per person.,Commercial Entrance - Sedan
240,202,100.0,Vehicles with capacity of 26+: $100. (No per person fee),Commercial Entrance - Motor Coach
241,203,25.0,"Fees are charged only when the entrance station is open in the spring, summer, and fall seasons or when the visitor center is open in the winter season. Fees can be paid by cash, check, or credit card. Passes may also be purchased in advance online through recreation.gov .",Entrance - Private Vehicle
242,203,15.0,"15+ passenger vehicle, age 16+",Entrance - Non-commercial Groups
243,203,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
244,203,25.0,This fee is for a commercial group of 1-6 people in a smaller vehicle. Valid for 7 days.,Commercial Entrance - Sedan
245,203,40.0,This fee is for a commercial group of 7-15 persons in a van. Valid for 7 days.,Commercial Entrance - Van
246,203,40.0,This fee is for a commercial group of 16-25 persons in a mini-bus. Valid for 7 days.,Commercial Entrance - Mini-bus
247,203,100.0,This fee is for a commercial motor coach with 26+ capacity. Valid for 7 days.,Commercial Entrance - Motor Coach
248,203,15.0,Entrance Fee for Bicycles or Walk-In Visitors,Entrance - Per Person
249,207,10.0,"An entrance fee of $10 per person (16 years of age and older) is required; entrance fees/passes permit 1-7 consecutive days of use in this national park. Holders of the Annual, Senior, Military, 4th grade and Access Pass can bring in 3 adults free of charge under their pass. Any pass must be displayed in a vehicle while in the national park.",Entrance - Per Person
250,207,0.0,"Entrance fee waivers are available to groups when the purpose of their visit is educational rather than recreational. Completed applications along with required documentation must be submitted via email. 
Fee waiver requests must be submitted at least six weeks before a scheduled visit to allow for consideration.",Entrance - Education/Academic Groups
251,209,25.0,"Cost for up to six people in one vehicle. Good for seven days into any fee area in Florida, (Opal Beach, Johnson Beach, Fort Pickens).",Entrance - Private Vehicle
252,209,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Fees are required at Fort Pickens Area, Opal Beach Complex Area, and Johnson Beach Area in Florida. Additional fees to ride the ferry.",Entrance - Motorcycle
253,209,15.0,"Fees are required at Fort Pickens Area, Opal Beach Complex Area, and Johnson Beach Area in Florida. Additional fees to ride the ferry.",Entrance - Per Person
254,211,25.0,"Valid for 3 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers to Haleakalā National Park, including both the Summit and Kīpahulu Districts.",Entrance - Motorcycle
255,211,30.0,"Valid for three days. Admits private, non-commercial vehicle (14 max capacity or less) and all occupants to Haleakalā National Park including both the Summit and Kīpahulu Districts.",Entrance - Private Vehicle
256,211,15.0,Admits one individual with no car to Haleakalā National Park including both the Summit and Kīpahulu Areas. Youth 15 and under are admitted free.,Entrance - Per Person
257,211,15.0,$15.00 per person for non-road based organized groups that offer activities such as Astronomy and Hiking.,Commercial Entrance - Per Person
258,211,30.0,"$30.00 plus, $15.00 per person for road based tour vehicles, such as sedans, with a passenger carrying capacity of 1-7 people.",Commercial Entrance - Sedan
259,211,45.0,"$45.00 for road based tour vehicles, such as large vans and mini buses, with a passenger carrying capacity of 8-25 people.",Commercial Entrance - Van
260,211,1.0,A reservation is required for each vehicle entering the park from 3:00 a.m. to 7:00 a.m. You may book a reservation up to 60 days in advance and 2 days in advance of the start date.,Timed Entry Reservation - Park & Location
261,215,20.0,"For a single, private vehicle. Excludes group tours and 7+ passenger vans. Entrance passes are valid for three consecutive days, beginning on date of purchase and are required in all park areas. Fees are payable at the Entrance Station near the park's visitor center, Bolivar Heights, Maryland Heights, Harpers Ferry Train Station, and River Access Parking Lot.",Entrance - Private Vehicle
262,215,15.0,"Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Entrance passes are valid for 3 consecutive days, beginning on date of purchase and are required in all park areas. Fees are payable at the Entrance Station near the park's visitor center, Bolivar Heights, Maryland Heights, Harpers Ferry Train Station, and River Access Parking Lot.",Entrance - Motorcycle
263,215,10.0,"Persons arriving on foot or on bicycle are required to pay the per-person fee. Entrance passes are valid for three consecutive days, beginning on date of purchase and are required in all park areas. Fees are payable at the Entrance Station near the park's visitor center, Bolivar Heights, Maryland Heights, Harpers Ferry Train Station, and River Access Parking Lot.",Entrance - Per Person
264,219,30.0,"Private Vehicle Pass - The private vehicle pass admits the passholder and up to 14 passengers of a single, private (non-commercial) vehicle.",Entrance - Private Vehicle
265,219,25.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
266,219,15.0,"Pedestrian/Cyclist Pass - Admits one individual bicyclist, hiker, or pedestrian visiting without a private vehicle. An individual pass is not required for visitors aged 15 and under.",Entrance - Per Person
267,219,100.0,The commercial entrance fee for a Road Based Guided Tour is based on vehicle seating capacity. For a 16-25 passenger vehicle the user fee is $100.,Commercial Entrance - Mini-bus
268,219,200.0,"The commercial entrance fee for a Road Based Guided Tour is based on vehicle seating capacity. For a 26+ passenger vehicle the user fee is $200. 

Large vehicles, defined as more than 26 feet in length and/or more than eight feet wide, are only allowed to operate on Crater Rim Drive to Kilauea Visitor Center, Kūkamāhuākea (Steam Vents), and Uēkahuna. Mauna Loa Road to the Kīpukapuaulu turnabout.",Commercial Entrance - Motor Coach
269,219,15.0,"$15 per person for Commercial Non-Road Based Guided Tours. This includes hiking more than one mile on one trail, bird watching on foot for more than one hour at one location, and/or or bicycling tours.",Commercial Entrance - Per Person
270,221,15.0,Adult (16 and older) -$15; good for 7 days entrance to Yorktown Battlefield (and NPS areas at Historic Jamestowne); can be upgraded to see Preservation Virginia areas at Historic Jamestowne for an additional $15 at the Historic Jamestowne Visitor Center. Yorktown Battlefield will not be selling the $30 entrance permit for Historic Jamestowne.,Entrance - Per Person
271,222,15.0,"Entrance to the Home of FDR is by guided tour only.  Tickets are sold on a first come, first served basis.  There are no advanced reservations for individuals.",Entrance - Per Person
272,222,15.0,"The Franklin D. Roosevelt Presidential Library and Museum is open 7 days a week, from 9:00 a.m. to 5:00 p.m. (NOV-MAR) and 9:00 a.m. to 6:00 p.m. (APR-OCT). Online tickets may be purchased at the link below. You will receive an email confirmation after making a purchase (be sure to check your SPAM folder).  Bring this confirmation -- printed or on smart device -- as proof of purchase.",Entrance - Per Person
273,229,20.0,Entry fee is valid for 7 days and grants entry for driver and passengers in one private vehicle. Does not cover camping costs.,Entrance - Private Vehicle
274,229,15.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
275,229,10.0,Admits one individual with no car. This fee type is typically used for bicyclists and pedestrians. Youth 15 and under are admitted free. Entry fee is valid for 7 days.,Entrance - Per Person
276,233,1.0,Entrance to Independence Hall requires a guided tour. Tickets are required.,Timed Entry Reservation - Location
277,234,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
278,234,25.0,"7-Day Park Entrance Fee - Family-Size Vehicle

Per private family-sized vehicle (valid for 1-7 days from date of purchase).",Entrance - Private Vehicle
279,234,15.0,"7-Day Per Person Entrance Fee (Organized, non-commercial groups)

Visitors 16 years of age or older who enter on foot, bicycle, boat, or as part of an organized group not involved in a commercial tour.",Entrance - Per Person
280,234,25.0,"Entry for commercial sedans with 6 or less people. 

Cost is $25.00 plus $15 per person (not to exceed next highest rate).",Commercial Entrance - Sedan
281,234,40.0,"Commercial Tour Fee - Van (7-15 persons) - $40.00

Entry for commercial vans with 7-15 people.",Commercial Entrance - Van
282,234,40.0,"Commercial Tour Fee - Mini Bus (16-25 persons) - $40.00

Entry for commercial mini bus with 16-25 people.",Commercial Entrance - Mini-bus
283,234,100.0,"Commercial Tour Fee - Motor Coach (26+ persons) - $100.00
Entry for commercial motor coaches with 26+ persons.",Commercial Entrance - Motor Coach
284,235,7.0,"$7 per person per day to enter or remain in Isle Royale National Park. Children 15 and younger are exempt.

Visiting Park Headquarters in Houghton, MI does not require a fee.",Entrance - Per Person
285,245,30.0,"7-day vehicle permit, admitting the passengers of a single, non-commercial vehicle on the day of purchase and for the next six days.",Entrance - Private Vehicle
286,245,25.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
287,245,15.0,"7-day entrance fee, per person on foot or bike.",Entrance - Per Person
288,253,5.0,"The Daily Pass is valid for the date of purchase only. It admits all persons traveling in a single, private, non-commercial vehicle (car/truck/van) and is non-transferable. This pass does NOT guarantee a parking spot.",Entrance - Private Vehicle
289,253,5.0,The Daily Pass is valid for the date of purchase only. It admits all walk-in visitors aged 16 and older.,Entrance - Per Person
290,253,0.0,"To request an Academic Fee Waiver for your group, click on the link for further details.",Entrance - Education/Academic Groups
291,253,100.0,$100 Motor Coach/Commercial Tour Groups with 26 or more people,Commercial Entrance - Motor Coach
292,253,40.0,$40 per passenger bus with 16-25 people,Commercial Entrance - Mini-bus
293,253,25.0,$25 per passenger bus/sedan with 1-6 people,Commercial Entrance - Sedan
294,263,25.0,Admits a private non-commercial vehicle for 1-7 days.,Entrance - Private Vehicle
295,263,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
296,263,15.0,Admits a single individual walking/bicycling for 1-7 days.,Entrance - Per Person
297,263,15.0,"Admits vehicles at the per person rate for groups using vehicles for 12 or more people. The $15 cost is per person ages 16+, not to exceed the flat rate paid commercial tours for same type of vehicle.",Entrance - Non-commercial Groups
298,263,0.0,Admits education/academic groups as long as a fee waiver form is filled out and approved.,Entrance - Education/Academic Groups
299,263,25.0,Admits a sedan of 1-6 people.,Commercial Entrance - Sedan
300,263,50.0,Admits a van of 7-16 persons.,Commercial Entrance - Van
